[17:17:05] Processing file resample_061.tab: 61/1000 (6.1%) | Elapsed: 10s | ETA: 2m 48s
[17:17:05] Processing file resample_062.tab: 62/1000 (6.2%) | Elapsed: 11s | ETA: 2m 48s
[17:17:05] Processing file resample_063.tab: 63/1000 (6.3%) | Elapsed: 11s | ETA: 2m 48s
[17:17:05] Processing file resample_064.tab: 64/1000 (6.4%) | Elapsed: 11s | ETA: 2m 47s
[17:17:05] Processing file resample_065.tab: 65/1000 (6.5%) | Elapsed: 11s | ETA: 2m 47s
[17:17:06] Processing file resample_066.tab: 66/1000 (6.6%) | Elapsed: 11s | ETA: 2m 47s
[17:17:06] Processing file resample_067.tab: 67/1000 (6.7%) | Elapsed: 12s | ETA: 2m 47s
[17:17:06] Processing file resample_068.tab: 68/1000 (6.8%) | Elapsed: 12s | ETA: 2m 47s
[17:17:06] Processing file resample_069.tab: 69/1000 (6.9%) | Elapsed: 12s | ETA: 2m 47s
[17:17:06] Processing file resample_070.tab: 70/1000 (7.0%) | Elapsed: 12s | ETA: 2m 47s
[17:17:07] Processing file resample_071.tab: 71/1000 (7.1%) | Elapsed: 12s | ETA: 2m 46s
[17:17:07] Processing file resample_072.tab: 72/1000 (7.2%) | Elapsed: 12s | ETA: 2m 46s
[17:17:07] Processing file resample_073.tab: 73/1000 (7.3%) | Elapsed: 13s | ETA: 2m 46s
[17:17:07] Processing file resample_074.tab: 74/1000 (7.4%) | Elapsed: 13s | ETA: 2m 46s
[17:17:07] Processing file resample_075.tab: 75/1000 (7.5%) | Elapsed: 13s | ETA: 2m 45s
